RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES,Location X,Location Y
1,0,52372,Cameron Champ,321.4,35996,112,6,321.4
2,0,28237,Rory McIlroy,321.3,38561,120,Xander ,321.3
3,0,57366,Cameron Young,319.3,52373,164,6,319.3
4,0,51766,Wyndham Clark,319,59335,186,6,319
5,0,46970,Jon Rahm,318.9,44646,140,6,318.9
6,0,56278,Matthew Wolff,318.4,29926,94,6,318.4
7,0,34255,Joseph Bramlett,318.3,51563,162,6,318.3
8,0,46550,Brandon Hagy,317.9,47046,148,6,317.9
9,0,46601,Trey Mullinax,317.2,52013,164,6,317.2
10,0,40250,Taylor Pendrith,316.1,44888,142,6,316.1
11,0,27064,Jhonattan Vegas,315.7,46086,146,6,315.7
12,0,27129,Luke List,314.8,47842,152,6,314.8
13,0,47483,Will Zalatoris,314.7,45319,144,6,314.7
14,0,33448,Justin Thomas,314.3,47772,152,6,314.3
15,0,24502,Adam Scott,312.4,44991,144,6,312.4
15,0,48699,Callum Tarren,312.4,43108,138,6,312.4
17,0,36689,Brooks Koepka,311.9,28698,92,6,311.9
18,0,39546,Keith Mitchell,311.8,53626,172,6,311.8
19,0,46046,Scottie Scheffler,311.6,52341,168,6,311.6
20,0,48117,Kurt Kitayama,310.8,43512,140,6,310.8
21,0,32333,Kevin Tway,310.2,47771,154,6,310.2
22,0,32366,Kevin Chappell,310.1,34107,110,6,310.1
23,0,31323,Gary Woodland,309.9,42762,138,6,309.9
24,0,47504,Sam Burns,309.6,49532,160,6,309.6
24,0,12716,Charley Hoffman,309.6,40251,130,6,309.6
24,0,45540,Jared Wolfe,309.6,36529,118,6,309.6
27,0,37212,Paul Barjon,309.4,43933,142,6,309.4
27,0,32102,Rickie Fowler,309.4,41454,134,6,309.4
27,0,47856,Seth Reeves,309.4,41456,134,6,309.4
30,0,35461,Beau Hossler,309.3,43302,140,6,309.3
30,0,36699,Patrick Rodgers,309.3,52577,170,6,309.3
32,0,30944,Jason Kokrak,309.2,37718,122,6,309.2
32,0,10381,Curtis Thompson,309.2,39576,128,6,309.2
34,0,45486,Joaquin Niemann,309.1,46990,152,6,309.1
35,0,45157,Cam Davis,308.5,50599,164,6,308.5
35,0,48081,Xander Schauffele,308.5,41960,136,6,308.5
37,0,46717,Viktor Hovland,308.4,43177,140,6,308.4
37,0,34046,Jordan Spieth,308.4,45643,148,6,308.4
39,0,49964,Aaron Wise,308.3,53019,172,6,308.3
40,0,35450,Patrick Cantlay,308,41886,136,6,308
40,0,29725,Tony Finau,308,52980,172,6,308
42,0,29518,Brendan Steele,307.8,42480,138,6,307.8
43,0,47995,Davis Riley,307.6,57822,188,6,307.6
44,0,33141,Keegan Bradley,307.5,46743,152,6,307.5
